libelle_fr,libelle_ar,year,value,city,base_year
Forfaits touristiques,الواجبات السياحية الجزافية,2016,112.3,agadir,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2021,104.7,dakhla,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2017,112.0,oujda,2006
Forfaits touristiques,الواجبات السياحية الجزافية,2018,180.7,beni_mellal,2006
Articles de ménage en textiles,مواد منزلية من النسيج,2018,96.5,al_hoceima,2006
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2017,110.7,tanger,2006
Autres services,خدمات أخرى,2018,122.1,tanger,2006
Soins corporels,العناية بالجسد,2016,121.6,dakhla,2006
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2016,58.7,beni_mellal,2006
Chaussures,الأحذية,2018,118.9,tanger,2006
Chaussures,الأحذية,2019,112.3,marrakech,2017
Outillage et autre matériel pour la maison et le jardin,الأدوات والمعدات الأخرى للمنزل والحديقة,2020,107.1,casablanca,2017
Services financiers,الخدمات المالية,2020,100.0,agadir,2017
Restaurants et hôtels,مطاعم وفنادق,2019,104.7,fes,2017
Restaurants et hôtels,مطاعم وفنادق,2016,139.1,tetouan,2006
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2021,107.1,dakhla,2017
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2018,108.1,agadir,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2019,101.2,marrakech,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2020,115.3,casablanca,2017
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2018,132.5,dakhla,2006
Produits alimentaires,المواد الغذائية,2017,122.1,oujda,2006
Loisirs et culture,الترفيه والثقافة,2016,101.8,kenitra,2006
Assurance,التأمين,2017,100.9,al_hoceima,2006
Soins corporels,العناية بالجسد,2017,121.0,dakhla,2006
Assurance,التأمين,2017,101.1,tetouan,2006
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2018,108.4,guelmim,2017
Chaussures,الأحذية,2018,105.2,fes,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2016,124.1,kenitra,2006
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2018,99.7,beni_mellal,2017
Restaurants et hôtels,مطاعم وفنادق,2018,117.7,marrakech,2006
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2018,115.1,fes,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2018,103.3,fes,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2021,101.4,casablanca,2017
Enseignement non défini par niveau,التعليم غير المحدد بالمستوى,2021,114.3,casablanca,2017
Indice général,الرقم الإستدلالي العام,2017,120.6,casablanca,2006
Services financiers,الخدمات المالية,2021,100.0,beni_mellal,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2020,101.0,agadir,2017
Produits alimentaires,المواد الغذائية,2018,101.8,marrakech,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2018,100.1,beni_mellal,2017
Chaussures,الأحذية,2017,103.9,fes,2006
Alimentation en eau et services divers liés au logement,التزويد بالماء وخدمات مختلفة متعلقة بالسكن,2021,100.0,marrakech,2017
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2021,101.6,guelmim,2017
Services de transport,خدمات النقل,2019,100.0,guelmim,2017
Santé,الصحة,2020,100.4,fes,2017
Biens et services divers,مواد وخدمات اخرى,2018,102.8,fes,2017
Boissons non alcoolisées,المشروبات غير الكحولية,2018,100.4,errachidia,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2020,107.7,errachidia,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2019,107.0,dakhla,2017
Autres services,خدمات أخرى,2020,105.9,dakhla,2017
Produits alimentaires,المواد الغذائية,2019,99.9,beni_mellal,2017
Tabac,التبغ,2019,121.1,beni_mellal,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2019,100.1,beni_mellal,2017
Services ambulatoires,الخدمات الإسعافية,2019,104.3,errachidia,2017
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2021,103.6,dakhla,2017
Santé,الصحة,2020,101.5,al_hoceima,2017
Santé,الصحة,2018,111.9,tetouan,2006
Services ambulatoires,الخدمات الإسعافية,2017,120.5,tetouan,2006
Enseignement secondaire,التعليم الثانوي,2017,200.8,tetouan,2006
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2016,108.6,tanger,2006
Enseignement secondaire,التعليم الثانوي,2017,150.9,tanger,2006
Autres services,خدمات أخرى,2017,100.0,tanger,2006
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2016,124.4,settat,2006
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2018,111.1,settat,2006
Services de restauration,خدمات المطاعم,2018,142.1,settat,2006
Articles d'habillement,الملابس,2017,103.7,safi,2006
Appareils ménagers,الأجهزة المنزلية,2016,98.7,safi,2006
Enseignement non défini par niveau,التعليم غير المحدد بالمستوى,2016,106.7,safi,2006
Loyers effectifs,الكراء الفعلي,2016,104.4,rabat,2006
Indice général,الرقم الإستدلالي العام,2016,115.1,rabat,2006
Services ambulatoires,الخدمات الإسعافية,2017,111.6,meknes,2006
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2017,145.9,settat,2006
Services de restauration,خدمات المطاعم,2016,125.2,oujda,2006
Boissons alcoolisées,المشروبات الكحولية,2018,150.9,settat,2006
Enseignement,التعليم,2018,102.7,casablanca,2017
Soins corporels,العناية بالجسد,2016,113.5,tanger,2006
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2018,111.1,safi,2006
Services de transport,خدمات النقل,2020,111.6,al_hoceima,2017
Outillage et autre matériel pour la maison et le jardin,الأدوات والمعدات الأخرى للمنزل والحديقة,2018,108.9,tanger,2006
Produits alimentaires,المواد الغذائية,2017,128.6,rabat,2006
Autres biens durables à fonction  récréative et culturelle,مواد أخرى مستدامة ذات وظيفة إبداعية وثقافية,2019,100.0,casablanca,2017
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2017,110.9,agadir,2006
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2018,100.9,marrakech,2017
Services financiers,الخدمات المالية,2019,100.0,marrakech,2017
Loyers effectifs,الكراء الفعلي,2017,110.2,tetouan,2006
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2016,57.5,tanger,2006
Articles d'habillement,الملابس,2017,124.7,casablanca,2006
Autres biens durables à fonction  récréative et culturelle,مواد أخرى مستدامة ذات وظيفة إبداعية وثقافية,2018,100.0,errachidia,2017
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2019,100.5,beni_mellal,2017
Enseignement non défini par niveau,التعليم غير المحدد بالمستوى,2018,100.0,beni_mellal,2017
Biens et services divers,مواد وخدمات اخرى,2020,105.9,fes,2017
Santé,الصحة,2017,106.4,oujda,2006
Articles d'habillement,الملابس,2018,103.6,agadir,2006
Enseignement,التعليم,2016,147.9,oujda,2006
Services ambulatoires,الخدمات الإسعافية,2020,101.3,kenitra,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2016,110.8,marrakech,2006
Produits alimentaires,المواد الغذائية,2020,101.0,marrakech,2017
Tabac,التبغ,2018,108.7,agadir,2017
Entretien et réparation des logements,صيانة وإصلاح المساكن,2018,104.6,dakhla,2017
Tabac,التبغ,2017,122.8,tetouan,2006
Articles d'habillement et chaussures,الملابس والأحذية,2016,101.9,safi,2006
Services de restauration,خدمات المطاعم,2016,112.9,rabat,2006
Tabac,التبغ,2018,108.7,fes,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2018,100.1,casablanca,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2018,121.0,dakhla,2006
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2017,118.5,rabat,2006
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2018,161.6,kenitra,2006
Restaurants et hôtels,مطاعم وفنادق,2020,101.6,agadir,2017
Enseignement secondaire,التعليم الثانوي,2016,147.4,al_hoceima,2006
Services de restauration,خدمات المطاعم,2018,134.0,oujda,2006
Loyers effectifs,الكراء الفعلي,2021,110.0,errachidia,2017
Achat de véhicules,شراء العربات,2019,104.8,errachidia,2017
Loyers effectifs,الكراء الفعلي,2018,103.7,kenitra,2006
Santé,الصحة,2017,106.0,marrakech,2006
Loisirs et culture,الترفيه والثقافة,2021,99.4,casablanca,2017
Tabac,التبغ,2018,108.7,tanger,2017
Articles d'habillement et chaussures,الملابس والأحذية,2021,98.0,tanger,2017
Loyers effectifs,الكراء الفعلي,2019,100.9,tanger,2017
Entretien et réparation des logements,صيانة وإصلاح المساكن,2020,106.9,tanger,2017
Services ambulatoires,الخدمات الإسعافية,2018,101.0,tanger,2017
Services hospitaliers,الخدمات الإستشفائية,2019,100.4,tanger,2017
Services hospitaliers,الخدمات الإستشفائية,2018,100.4,tanger,2017
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2019,102.1,tanger,2017
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2018,100.9,tanger,2017
"Matériel audiovisuel, photographique et de traitementde l'information",المعدات السمعية البصرية والفوتوغرافية ومعدات معالجةالمعلومات,2018,100.0,tanger,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2020,103.2,tanger,2017
Enseignement,التعليم,2021,109.3,tanger,2017
Enseignement,التعليم,2020,108.7,tanger,2017
Enseignement secondaire,التعليم الثانوي,2021,109.0,tanger,2017
Soins corporels,العناية بالجسد,2019,102.7,tanger,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2021,101.0,tanger,2017
Assurance,التأمين,2018,100.0,tanger,2017
Services postaux,خدمات بريدية,2017,134.4,fes,2006
Achat de véhicules,شراء العربات,2017,110.2,meknes,2006
Services d'hébergement,خدمات الإيواء,2021,92.9,fes,2017
Restaurants et hôtels,مطاعم وفنادق,2017,136.8,fes,2006
Achat de véhicules,شراء العربات,2017,96.3,casablanca,2006
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2018,100.0,oujda,2017
Services financiers,الخدمات المالية,2019,100.0,guelmim,2017
Boissons alcoolisées,المشروبات الكحولية,2020,100.7,fes,2017
Loisirs et culture,الترفيه والثقافة,2021,99.9,oujda,2017
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2019,101.9,safi,2017
Communications,المواصلات,2019,105.1,safi,2017
Soins corporels,العناية بالجسد,2018,102.5,safi,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2018,157.5,agadir,2006
Appareils ménagers,الأجهزة المنزلية,2017,100.5,kenitra,2006
Chaussures,الأحذية,2017,101.6,safi,2006
Services de restauration,خدمات المطاعم,2016,124.9,settat,2006
Variation (en %),نسبة التغـيـر (%),2020,2.1,guelmim,2017
Services ambulatoires,الخدمات الإسعافية,2021,104.4,casablanca,2017
Tabac,التبغ,2016,122.8,guelmim,2006
Transport,النقل,2018,111.0,agadir,2006
Loyers effectifs,الكراء الفعلي,2018,106.9,agadir,2006
Services de restauration,خدمات المطاعم,2017,123.1,guelmim,2006
Articles d'habillement et chaussures,الملابس والأحذية,2020,110.0,marrakech,2017
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2020,106.2,guelmim,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2020,142.9,guelmim,2017
Loisirs et culture,الترفيه والثقافة,2021,103.6,dakhla,2017
"Produits, appareils et matériels médicaux",مواد وأجهزة ومعدات طبية,2021,98.3,fes,2017
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2017,128.5,settat,2006
Outillage et autre matériel pour la maison et le jardin,الأدوات والمعدات الأخرى للمنزل والحديقة,2019,100.0,beni_mellal,2017
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2020,95.2,agadir,2017
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2018,136.8,tetouan,2006
Variation (en %),نسبة التغـيـر (%),2020,0.0,fes,2017
Enseignement secondaire,التعليم الثانوي,2017,133.5,guelmim,2006
Boissons alcoolisées,المشروبات الكحولية,2016,155.5,marrakech,2006
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2020,105.9,dakhla,2017
Achat de véhicules,شراء العربات,2017,92.9,fes,2006
Achat de véhicules,شراء العربات,2019,106.8,beni_mellal,2017
Autres services,خدمات أخرى,2019,102.4,agadir,2017
"Matériel audiovisuel, photographique et de traitementde l'information",المعدات السمعية البصرية والفوتوغرافية ومعدات معالجةالمعلومات,2018,95.3,fes,2017
Services de transport,خدمات النقل,2020,109.6,agadir,2017
Variation (en %),نسبة التغـيـر (%),2017,1.1,safi,2006
Produits alimentaires,المواد الغذائية,2021,103.4,safi,2017
Enseignement non défini par niveau,التعليم غير المحدد بالمستوى,2020,100.0,safi,2017
Services financiers,الخدمات المالية,2019,96.9,safi,2017
Outillage et autre matériel pour la maison et le jardin,الأدوات والمعدات الأخرى للمنزل والحديقة,2016,97.2,rabat,2006
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2018,126.1,marrakech,2006
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2017,112.9,guelmim,2006
Articles d'habillement,الملابس,2016,117.2,fes,2006
Alimentation en eau et services divers liés au logement,التزويد بالماء وخدمات مختلفة متعلقة بالسكن,2019,100.5,al_hoceima,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2018,106.2,safi,2006
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2016,104.0,dakhla,2006
Enseignement,التعليم,2018,103.1,tanger,2017
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2021,103.4,al_hoceima,2017
Services postaux,خدمات بريدية,2018,134.4,settat,2006
Articles d'habillement et chaussures,الملابس والأحذية,2016,118.7,al_hoceima,2006
Achat de véhicules,شراء العربات,2018,93.0,al_hoceima,2006
Services de transport,خدمات النقل,2016,105.6,dakhla,2006
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2017,123.8,safi,2006
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2021,124.9,agadir,2017
Services hospitaliers,الخدمات الإستشفائية,2016,100.0,marrakech,2006
Appareils ménagers,الأجهزة المنزلية,2016,86.1,casablanca,2006
Appareils ménagers,الأجهزة المنزلية,2021,100.6,errachidia,2017
Transport,النقل,2016,111.3,al_hoceima,2006
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2016,115.2,marrakech,2006
Assurance,التأمين,2017,100.9,agadir,2006
"Matériel audiovisuel, photographique et de traitementde l'information",المعدات السمعية البصرية والفوتوغرافية ومعدات معالجةالمعلومات,2020,98.8,tanger,2017
Autres biens durables à fonction  récréative et culturelle,مواد أخرى مستدامة ذات وظيفة إبداعية وثقافية,2021,100.0,tanger,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2020,116.7,tanger,2017
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2021,98.5,tanger,2017
services de restauration,خدمات المطاعم,2018,101.2,marrakech,2017
Services de restauration,خدمات المطاعم,2016,139.6,tetouan,2006
Achat de véhicules,شراء العربات,2021,98.9,oujda,2017
Boissons non alcoolisées,المشروبات غير الكحولية,2021,98.7,tanger,2017
Services d'hébergement,خدمات الإيواء,2019,114.8,tanger,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2021,111.6,meknes,2017
Variation (en %),نسبة التغـيـر (%),2020,0.9,agadir,2017
Services de restauration,خدمات المطاعم,2021,99.6,agadir,2017
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2016,128.2,rabat,2006
Chaussures,الأحذية,2019,103.0,safi,2017
Articles d'habillement,الملابس,2018,101.2,al_hoceima,2017
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2019,102.8,casablanca,2017
Alimentation en eau et services divers liés au logement,التزويد بالماء وخدمات مختلفة متعلقة بالسكن,2020,100.0,marrakech,2017
Tabac,التبغ,2020,122.1,safi,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2016,174.8,guelmim,2006
Services hospitaliers,الخدمات الإستشفائية,2018,119.3,fes,2006
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2018,49.7,marrakech,2006
Services de restauration,خدمات المطاعم,2020,99.5,tanger,2017
Loyers effectifs,الكراء الفعلي,2018,100.2,tanger,2017
Achat de véhicules,شراء العربات,2018,100.1,tanger,2017
Services d'hébergement,خدمات الإيواء,2020,101.9,errachidia,2017
Alimentation en eau et services divers liés au logement,التزويد بالماء وخدمات مختلفة متعلقة بالسكن,2018,100.0,tanger,2006
Produits alimentaires,المواد الغذائية,2018,100.9,beni_mellal,2017
Loisirs et culture,الترفيه والثقافة,2018,97.7,tetouan,2006
"Produits, appareils et matériels médicaux",مواد وأجهزة ومعدات طبية,2018,99.4,tanger,2017
Services hospitaliers,الخدمات الإستشفائية,2019,100.0,rabat,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2017,111.1,fes,2006
Autres services,خدمات أخرى,2019,100.8,fes,2017
Loisirs et culture,الترفيه والثقافة,2018,100.3,errachidia,2017
Services postaux,خدمات بريدية,2017,124.7,tanger,2006
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2020,103.4,marrakech,2017
Boissons alcoolisées,المشروبات الكحولية,2017,144.2,tetouan,2006
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2019,100.0,dakhla,2017
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2016,100.0,safi,2006
Boissons alcoolisées,المشروبات الكحولية,2017,150.0,settat,2006
Achat de véhicules,شراء العربات,2018,109.5,meknes,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2021,100.4,safi,2017
Santé,الصحة,2017,100.7,dakhla,2006
Achat de véhicules,شراء العربات,2020,110.8,beni_mellal,2017
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2018,103.2,beni_mellal,2017
Communications,المواصلات,2018,101.3,beni_mellal,2017
Services postaux,خدمات بريدية,2020,100.0,beni_mellal,2017
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2021,77.1,beni_mellal,2017
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2019,82.8,beni_mellal,2017
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2019,105.6,beni_mellal,2017
Loisirs et culture,الترفيه والثقافة,2019,100.4,beni_mellal,2017
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2021,104.1,beni_mellal,2017
Services récréatifs et culturels,خدمات الترفيه والثقافة,2019,99.6,beni_mellal,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2021,119.0,beni_mellal,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2018,100.0,beni_mellal,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2019,100.0,beni_mellal,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2018,100.0,beni_mellal,2017
Enseignement secondaire,التعليم الثانوي,2021,100.1,beni_mellal,2017
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2020,100.0,beni_mellal,2017
Enseignement supérieur,التعليم العالي,2019,100.0,beni_mellal,2017
Enseignement non défini par niveau,التعليم غير المحدد بالمستوى,2019,100.0,beni_mellal,2017
Restaurants et hôtels,مطاعم وفنادق,2018,102.5,beni_mellal,2017
Services de restauration,خدمات المطاعم,2018,102.5,beni_mellal,2017
Services d'hébergement,خدمات الإيواء,2021,107.9,beni_mellal,2017
Services d'hébergement,خدمات الإيواء,2018,102.8,beni_mellal,2017
Soins corporels,العناية بالجسد,2021,102.8,beni_mellal,2017
Assurance,التأمين,2020,103.7,beni_mellal,2017
Services financiers,الخدمات المالية,2019,100.0,beni_mellal,2017
Variation (en %),نسبة التغـيـر (%),2018,0.8,beni_mellal,2017
Boissons alcoolisées,المشروبات الكحولية,2019,100.0,al_hoceima,2017
Tabac,التبغ,2021,127.8,al_hoceima,2017
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2020,99.3,al_hoceima,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2020,98.7,al_hoceima,2017
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2020,106.2,al_hoceima,2017
Articles de ménage en textiles,مواد منزلية من النسيج,2018,100.2,al_hoceima,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2021,106.4,al_hoceima,2017
Biens et services liés à l'entretien courant du foyer,مواد وخدمات متعلقة بالصيانة المنزلية,2019,98.5,al_hoceima,2017
Services ambulatoires,الخدمات الإسعافية,2021,105.7,al_hoceima,2017
Services ambulatoires,الخدمات الإسعافية,2019,105.8,al_hoceima,2017
Achat de véhicules,شراء العربات,2019,103.8,al_hoceima,2017
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2019,103.1,al_hoceima,2017
Services de transport,خدمات النقل,2019,102.8,al_hoceima,2017
Communications,المواصلات,2021,101.3,al_hoceima,2017
Services postaux,خدمات بريدية,2020,100.0,al_hoceima,2017
Services postaux,خدمات بريدية,2019,100.0,al_hoceima,2017
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2019,90.3,al_hoceima,2017
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2020,103.4,al_hoceima,2017
"Matériel audiovisuel, photographique et de traitementde l'information",المعدات السمعية البصرية والفوتوغرافية ومعدات معالجةالمعلومات,2021,87.3,al_hoceima,2017
Autres biens durables à fonction  récréative et culturelle,مواد أخرى مستدامة ذات وظيفة إبداعية وثقافية,2018,100.0,al_hoceima,2017
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2021,103.2,al_hoceima,2017
Services récréatifs et culturels,خدمات الترفيه والثقافة,2018,100.9,al_hoceima,2017
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2018,100.1,al_hoceima,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2020,103.5,al_hoceima,2017
Enseignement secondaire,التعليم الثانوي,2019,111.7,al_hoceima,2017
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2020,100.0,al_hoceima,2017
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2019,100.0,al_hoceima,2017
Restaurants et hôtels,مطاعم وفنادق,2018,109.2,al_hoceima,2017
Biens et services divers,مواد وخدمات اخرى,2018,100.9,al_hoceima,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2020,103.6,al_hoceima,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2019,100.9,al_hoceima,2017
Assurance,التأمين,2018,100.0,al_hoceima,2017
Autres services,خدمات أخرى,2018,114.9,al_hoceima,2017
Indice général,الرقم الإستدلالي العام,2018,101.9,al_hoceima,2017
Variation (en %),نسبة التغـيـر (%),2021,1.3,al_hoceima,2017
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2021,103.9,agadir,2017
Produits alimentaires,المواد الغذائية,2019,101.7,agadir,2017
Boissons non alcoolisées,المشروبات غير الكحولية,2019,98.5,agadir,2017
Boissons alcoolisées,المشروبات الكحولية,2019,100.3,agadir,2017
Tabac,التبغ,2020,122.1,agadir,2017
Articles d'habillement,الملابس,2021,96.9,agadir,2017
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2019,101.2,agadir,2017
Loyers effectifs,الكراء الفعلي,2018,100.2,agadir,2017
Entretien et réparation des logements,صيانة وإصلاح المساكن,2021,107.6,agadir,2017
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2019,102.3,agadir,2017
Articles de ménage en textiles,مواد منزلية من النسيج,2020,100.7,agadir,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2020,102.6,agadir,2017
Outillage et autre matériel pour la maison et le jardin,الأدوات والمعدات الأخرى للمنزل والحديقة,2018,100.6,agadir,2017
Biens et services liés à l'entretien courant du foyer,مواد وخدمات متعلقة بالصيانة المنزلية,2018,101.4,agadir,2017
Santé,الصحة,2020,101.0,agadir,2017
Santé,الصحة,2019,100.8,agadir,2017
"Produits, appareils et matériels médicaux",مواد وأجهزة ومعدات طبية,2018,99.4,agadir,2017
Services ambulatoires,الخدمات الإسعافية,2020,103.8,agadir,2017
Services ambulatoires,الخدمات الإسعافية,2019,102.6,agadir,2017
Transport,النقل,2021,107.1,agadir,2017
Services de transport,خدمات النقل,2019,101.4,agadir,2017
Communications,المواصلات,2019,102.5,agadir,2017
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2020,93.6,agadir,2017
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2020,103.7,agadir,2017
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2019,103.7,agadir,2017
Loisirs et culture,الترفيه والثقافة,2018,100.1,agadir,2017
"Matériel audiovisuel, photographique et de traitementde l'information",المعدات السمعية البصرية والفوتوغرافية ومعدات معالجةالمعلومات,2018,100.0,agadir,2017
Services récréatifs et culturels,خدمات الترفيه والثقافة,2018,100.0,agadir,2017
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2019,100.3,agadir,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2020,103.2,agadir,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2019,101.5,agadir,2017
Enseignement secondaire,التعليم الثانوي,2018,105.7,agadir,2017
Restaurants et hôtels,مطاعم وفنادق,2019,100.3,agadir,2017
Services d'hébergement,خدمات الإيواء,2018,99.9,agadir,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2018,100.5,agadir,2017
Assurance,التأمين,2019,100.0,agadir,2017
Services financiers,الخدمات المالية,2018,100.0,agadir,2017
Autres services,خدمات أخرى,2021,102.4,agadir,2017
