libelle_fr,libelle_ar,year,value,city,base_year
Services financiers,الخدمات المالية,2018,100.4,al_hoceima,2017
Boissons non alcoolisées,المشروبات غير الكحولية,2017,123.7,safi,2006
Produits alimentaires,المواد الغذائية,2021,101.8,marrakech,2017
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2018,100.0,al_hoceima,2017
Enseignement non défini par niveau,التعليم غير المحدد بالمستوى,2017,108.3,agadir,2006
Achat de véhicules,شراء العربات,2018,102.9,beni_mellal,2017
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2021,103.7,beni_mellal,2017
Restaurants et hôtels,مطاعم وفنادق,2018,116.0,rabat,2006
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2018,102.4,fes,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2019,103.0,marrakech,2017
Indice général,الرقم الإستدلالي العام,2019,101.2,beni_mellal,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2017,114.6,tetouan,2006
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2016,152.1,tanger,2006
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2021,88.4,agadir,2017
Services ambulatoires,الخدمات الإسعافية,2018,118.2,oujda,2006
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2018,99.9,al_hoceima,2017
Soins corporels,العناية بالجسد,2020,101.1,beni_mellal,2017
"Produits, appareils et matériels médicaux",مواد وأجهزة ومعدات طبية,2016,94.0,rabat,2006
Services ambulatoires,الخدمات الإسعافية,2019,101.7,beni_mellal,2017
Chaussures,الأحذية,2018,103.5,casablanca,2017
Chaussures,الأحذية,2018,101.6,settat,2006
Produits alimentaires,المواد الغذائية,2017,124.5,safi,2006
Entretien et réparation des logements,صيانة وإصلاح المساكن,2016,116.1,rabat,2006
Santé,الصحة,2016,106.3,settat,2006
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2016,122.1,oujda,2006
Chaussures,الأحذية,2016,116.2,oujda,2006
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2019,100.0,agadir,2017
Autres biens durables à fonction  récréative et culturelle,مواد أخرى مستدامة ذات وظيفة إبداعية وثقافية,2018,100.0,agadir,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2018,100.0,al_hoceima,2017
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2019,102.3,beni_mellal,2017
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2018,99.7,fes,2017
Communications,المواصلات,2016,55.0,al_hoceima,2006
Restaurants et hôtels,مطاعم وفنادق,2016,117.6,safi,2006
Services de transport,خدمات النقل,2018,113.5,rabat,2006
Santé,الصحة,2018,106.4,oujda,2006
Loisirs et culture,الترفيه والثقافة,2017,96.3,tetouan,2006
Loyers effectifs,الكراء الفعلي,2018,106.9,tanger,2006
Restaurants et hôtels,مطاعم وفنادق,2016,123.0,tanger,2006
Produits alimentaires,المواد الغذائية,2018,123.1,settat,2006
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2018,100.6,marrakech,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2018,113.0,fes,2017
Soins corporels,العناية بالجسد,2021,103.2,errachidia,2017
Soins corporels,العناية بالجسد,2021,102.7,marrakech,2017
Indice général,الرقم الإستدلالي العام,2021,103.9,marrakech,2017
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2019,107.9,fes,2017
